#m/mS		r/rS		P(Pa)			T(K)			rho(kg/m3)
0.0000	0.0000	2.338e+16	1.565e+7	1.533e+5
0.0002	0.0127	2.313e+16	1.559e+7	1.513e+5
0.0034	0.0321	2.183e+16	1.530e+7	1.417e+5
0.0310	0.0705	1.730e+16	1.419e+7	1.108e+5
0.0897	0.1072	1.254e+16	1.280e+7	8.193e+4
0.1629	0.1391	8.995e+15	1.156e+7	6.186e+4
0.2430	0.1686	6.401e+15	1.046e+7	4.720e+4
0.3388	0.2013	4.255e+15	9.362e+6	3.444e+4
0.4452	0.2376	2.627e+15	8.296e+6	2.378e+4
0.5445	0.2741	1.585e+15	7.382e+6	1.607e+4
0.6342	0.3117	9.321e+14	6.583e+6	1.058e+4
1.0000	0.9999	1.726e+04	8.241e+3	3.159e-4	
1.0000	1.0000	9.550e+03	5.778e+3	2.512e-4	
