#Table 6.1. Convection zone of a standard solar model (Z + n means Z x 10n)
#r/r0 P[Pa] 	T[K]		rho(kg/m3) nh nhe nhe+ dd  dt     v Fc/F
1.000	9.55e+03	5.78e+3	2.51e-4	.00	.00	.00	-1.1e-1	0.0e+0	0	0.00
1.000	1.18e+04	6.23e+3	2.87e-4	.00	.00	.00	9.7e-2	7.7e+0	152	0.00
1.000	1.34e+04	6.74e+3	3.01e-4	.00	.00	.00	4.1e-1	4.6e+2	1181	0.05
1.000	1.45e+04	7.21e+3	3.05e-4	.00	.00	.00	5.4e-1	1.5e+3	2172	0.32
1.000	2.19e+04	9.26e+3	3.52e-4	.02	.00	.00	2.0e-1	1.6e+3	2427	0.96
1.000	3.33e+04	1.05e+4	4.57e-4	.05	.00	.00	9.7e-2	9.2e+2	2042	0.99
.999	5.04e+04	1.14e+4	6.16e-4	.09	.00	.00	5.7e-2	5.9e+2	1783	1.00
.999	7.64e+04	1.22e+4	8.44e-4	.13	.00	.00	3.7e-2	4.1e+2	1581	1.00
.999	1.16e+05	1.30e+4	1.17e-3	.17	.00	.00	2.5e-2	2.9e+2	1412	1.00
.999	1.76e+05	1.37e+4	1.63e-3	.21	.00	.00	1.7e-2	2.2e+2	1266	1.00
.999	2.66e+05	1.45e+4	2.28e-3	.25	.00	.00	1.3e-2	1.7e+2	1139	1.00
.998	4.04e+05	1.53e+4	3.18e-3	.28	.00	.00	9.2e-3	1.3e+2	1026	1.00
.998	6.12e+05	1.62e+4	4.46e-3	.32	.00	.00	6.9e-3	1.0e+2	925	1.00
.998	9.28e+05	1.71e+4	6.24e-3	.36	.00	.00	5.2e-3	8.0e+1	837	1.00
.997	1.41e+06	1.80e+4	8.72e-3	.40	.00	.00	3.9e-3	6.4e+1	758	1.00
.997	2.13e+06	1.91e+4	1.22e-2	.44	.00	.00	3.0e-3	5.3e+1	688	1.00
.997	3.23e+06	2.03e+4	1.70e-2	.48	.01	.00	2.4e-3	4.3e+1	626	1.00
.996	4.90e+06	2.16e+4	2.37e-2	.52	.01	.00	1.9e-3	3.6e+1	571	1.00
.996	7.42e+06	2.31e+4	3.28e-2	.56	.02	.00	1.5e-3	3.1e+1	524	1.00
.995	1.13e+07	2.48e+4	4.51e-2	.61	.04	.00	1.2e-3	2.7e+1	481	1.00
.995	1.71e+07	2.68e+4	6.21e-2	.65	.07	.00	9.3e-4	2.3e+1	441	1.00
.994	3.18e+07	3.03e+4	9.89e-2	.72	.15	.00	6.8e-4	1.9e+1	393	1.00
.993	5.94e+07	3.47e+4	1.56e-1	.78	.30	.00	4.9e-4	1.5e+1	350	1.00
.992	9.01e+07	3.84e+4	2.09e-1	.81	.43	.00	3.9e-4	1.4e+1	326	1.00
.991	1.37e+08	4.28e+4	2.79e-1	.84	.57	.00	3.2e-4	1.2e+1	305	1.00
.990	2.07e+08	4.81e+4	3.68e-1	.87	.70	.00	2.6e-4	1.1e+1	286	1.00
.988	3.14e+08	5.47e+4	4.82e-1	.89	.80	.00	2.1e-4	1.0e+1	269	1.00
.987	4.76e+08	6.28e+4	6.27e-1	.91	.86	.01	1.6e-4	9.3e+0	251	1.00
.985	7.21e+08	7.25e+4	8.13e-1	.93	.88	.03	1.2e-4	8.1e+0	232	1.00
.983	1.09e+09	8.37e+4	1.05e+0	.94	.85	.09	9.0e-5	6.8e+0	212	1.00
.981	1.66e+09	9.65e+4	1.37e+0	.94	.77	.19	6.5e-5	5.6e+0	194	1.00
.976	3.09e+09	1.19e+5	2.04e+0	.95	.57	.40	4.1e-5	4.4e+0	171	1.00
.971	5.77e+09	1.49e+5	3.00e+0	.96	.38	.61	2.6e-5	3.5e+0	153	1.00
.967	8.75e+09	1.73e+5	3.88e+0	.96	.28	.72	2.0e-5	3.1e+0	142	1.00
.962	1.33e+10	2.02e+5	4.99e+0	.96	.21	.79	1.5e-5	2.7e+0	132	1.00
.956	2.01e+10	2.37e+5	6.42e+0	.96	.16	.84	1.1e-5	2.3e+0	123	1.00
.949	3.05e+10	2.78e+5	8.24e+0	.97	.13	.87	8.1e-6	2.0e+0	114	1.00
.942	4.62e+10	3.27e+5	1.06e+1	.97	.11	.89	5.9e-6	1.8e+0	105	1.00
.932	7.00e+10	3.85e+5	1.36e+1	.97	.09	.91	4.3e-6	1.5e+0	98	1.00
.922	1.06e+11	4.53e+5	1.74e+1	.97	.08	.92	3.2e-6	1.3e+0	90	.99
.910	1.61e+11	5.34e+5	2.24e+1	.97	.07	.93	2.3e-6	1.1e+0	84	.99
.896	2.44e+11	6.29e+5	2.87e+1	.97	.07	.93	1.7e-6	9.7e-1	78	.98
.880	3.70e+11	7.42e+5	3.68e+1	.97	.06	.94	1.2e-6	8.4e-1	72	.97
.862	5.61e+11	8.75e+5	4.73e+1	.98	.06	.94	9.1e-7	7.2e-1	67	.95
.841	8.50e+11	1.03e+6	6.07e+1	.98	.05	.95	6.6e-7	6.2e-1	62	.91
.818	1.29e+12	1.22e+6	7.79e+1	.98	.05	.95	4.7e-7	5.2e-1	57	.86
.778	2.41e+12	1.56e+6	1.14e+2	.98	.04	.96	2.7e-7	3.8e-1	48	.71
.732	4.56e+12	2.01e+6	1.66e+2	.98	.04	.96	1.1e-7	1.9e-1	34	.34
.717	5.44e+12	2.15e+6	1.85e+2	.98	.04	.96	5.6e-8	1.1e-1	26	.15
.710	5.96e+12	2.23e+6	1.95e+2	.98	.04	.96	1.9e-8	3.8e-2	15	.03
